YEAR,MONTH,LAKE,STATE_PROV,SPECIES,NO_STOCKED,AGEMONTH,WEIGHT
1950,,MI,ON,LAT,49888,,
1952,4,SU,WI,LAT,102097,,816.78
1952,9,SU,WI,LAT,145000,,870
1952,,SU,MI,LAT,65366,,588.29
1953,5,SU,WI,LAT,80137,,1442.47
1953,10,SU,WI,LAT,132980,,664.9
1953,,SU,MI,LAT,69439,,902.71
1953,,SU,MI,LAT,139073,,695.37
1953,,SU,ON,LAT,49915,,
1954,6,SU,WI,LAT,102016,,612.1
1954,10,SU,WI,LAT,142323,,1280.91
1954,,SU,MI,LAT,121296,,970.37
1954,,SU,MI,LAT,134318,,1208.86
1955,,SU,WI,LAT,102794,,2569.85
1955,,SU,MI,LAT,60744,,1214.88
1956,,SU,WI,LAT,200731,,5018.28
1958,4,SU,ON,LAT,5000,24,
1958,,SU,WI,LAT,183964,,3679.28
1958,,SU,MI,LAT,80020,,960.24
1958,,SU,ON,LAT,250000,,500
1958,,SU,MI,LAT,60033,,780.43
1958,,SU,MI,LAT,119975,,1559.68
1958,,SU,ON,LAT,287870,,3742.31
1958,,SU,MI,LAT,24250,,436.5
1958,,SU,MI,LAT,13870,,485.45
1959,,SU,WI,LAT,75524,,1586
1959,,SU,WI,LAT,75536,16,1586.26
1959,,SU,MI,LAT,5573,26,356.67
1959,,SU,MI,LAT,21580,26,1381.12
1959,,SU,ON,LAT,216000,15,864
1959,,SU,MI,LAT,2452,29,223.13
1959,,SU,MI,LAT,2888,40,727.78
1959,,SU,MI,LAT,10972,,
1959,,SU,ON,LAT,256590,,3592.26
1960,7,SU,ON,LAT,50250,3,100.5
1960,11,MI,MI,LAT,24543,10,196.34
1960,,MI,MI,LAT,88235,16,2382.35
1960,,SU,ON,LAT,65000,,
1960,,SU,WI,LAT,49400,8,345.8
1960,,SU,WI,LAT,161350,16,3711.05
1960,,SU,MI,LAT,128778,15,1802.89
1960,,SU,MI,LAT,131702,,1843.83
1960,,SU,MI,LAT,132628,16,3050.44
1960,,SU,ON,LAT,23990,14,455.81
